rank,cbsa,name,year,population,cumulative_population,cumulative_share_of_us
75,37100,"Oxnard-Thousand Oaks-Ventura, CA",2024,835427.0,211202498.0,0.62098
76,19430,"Dayton-Kettering-Beavercreek, OH",2024,821740.0,212024238.0,0.6234
77,44700,"Stockton-Lodi, CA",2024,816108.0,212840346.0,0.6258
78,24660,"Greensboro-High Point, NC",2024,800722.0,213641068.0,0.62815
79,17820,"Colorado Springs, CO",2024,777634.0,214418702.0,0.63044
80,30780,"Little Rock-North Little Rock-Conway, AR",2024,769258.0,215187960.0,0.6327
81,39340,"Provo-Orem-Lehi, UT",2024,760531.0,215948491.0,0.63494
82,19780,"Des Moines-West Des Moines, IA",2024,753913.0,216702404.0,0.63715
83,19660,"Deltona-Daytona Beach-Ormond Beach, FL",2024,739516.0,217441920.0,0.63933
84,28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY",2024,711730.0,218153650.0,0.64142
85,31540,"Madison, WI",2024,707606.0,218861256.0,0.6435
86,49180,"Winston-Salem, NC",2024,705187.0,219566443.0,0.64557
87,10420,"Akron, OH",2024,702209.0,220268652.0,0.64764
88,36260,"Ogden, UT",2024,667681.0,220936333.0,0.6496
89,48620,"Wichita, KS",2024,661217.0,221597550.0,0.65154
90,37340,"Palm Bay-Melbourne-Titusville, FL",2024,658447.0,222255997.0,0.65348
91,45060,"Syracuse, NY",2024,655189.0,222911186.0,0.65541
92,12260,"Augusta-Richmond County, GA-SC",2024,636760.0,223547946.0,0.65728
93,20500,"Durham-Chapel Hill, NC",2024,620522.0,224168468.0,0.6591
94,25420,"Harrisburg-Carlisle, PA",2024,615361.0,224783829.0,0.66091
95,27140,"Jackson, MS",2024,606178.0,225390007.0,0.6627
96,22220,"Fayetteville-Springdale-Rogers, AR",2024,605615.0,225995622.0,0.66448
97,44060,"Spokane-Spokane Valley, WA",2024,604962.0,226600584.0,0.66625
98,45780,"Toledo, OH",2024,601396.0,227201980.0,0.66802
99,16860,"Chattanooga, TN-GA",2024,588050.0,227790030.0,0.66975
100,35300,"New Haven, CT",2024,576718.0,228366748.0,0.67145
101,39900,"Reno, NV",2024,575110.0,228941858.0,0.67314
102,42540,"Scranton--Wilkes-Barre, PA",2024,574009.0,229515867.0,0.67483
103,38860,"Portland-South Portland, ME",2024,571534.0,230087401.0,0.67651
104,29540,"Lancaster, PA",2024,563293.0,230650694.0,0.67816
105,33700,"Modesto, CA",2024,556972.0,231207666.0,0.6798
106,38940,"Port St. Lucie, FL",2024,556336.0,231764002.0,0.68144
107,26620,"Huntsville, AL",2024,542297.0,232306299.0,0.68303
108,37860,"Pensacola-Ferry Pass-Brent, FL",2024,538928.0,232845227.0,0.68462
109,30460,"Lexington-Fayette, KY",2024,533366.0,233378593.0,0.68618
110,28660,"Killeen-Temple, TX",2024,509487.0,233888080.0,0.68768
111,44180,"Springfield, MO",2024,496975.0,234385055.0,0.68914
112,42220,"Santa Rosa-Petaluma, CA",2024,485375.0,234870430.0,0.69057
113,47300,"Visalia, CA",2024,483546.0,235353976.0,0.69199
114,48900,"Wilmington, NC",2024,480522.0,235834498.0,0.6934
115,29620,"Lansing-East Lansing, MI",2024,479971.0,236314469.0,0.69482
116,49620,"York-Hanover, PA",2024,471240.0,236785709.0,0.6962
117,44140,"Springfield, MA",2024,464151.0,237249860.0,0.69757
118,23060,"Fort Wayne, IN",2024,462978.0,237712838.0,0.69893
119,47930,"Waterbury-Shelton, CT",2024,462220.0,238175058.0,0.70029
120,46700,"Vallejo, CA",2024,455101.0,238630159.0,0.70162
121,18580,"Corpus Christi, TX",2024,450187.0,239080346.0,0.70295
122,42200,"Santa Maria-Santa Barbara, CA",2024,444500.0,239524846.0,0.70425
123,41420,"Salem, OR",2024,443416.0,239968262.0,0.70556
124,39740,"Reading, PA",2024,439117.0,240407379.0,0.70685
125,41500,"Salinas, CA",2024,436251.0,240843630.0,0.70813
126,15180,"Brownsville-Harlingen, TX",2024,431874.0,241275504.0,0.7094
127,42340,"Savannah, GA",2024,431589.0,241707093.0,0.71067
128,31700,"Manchester-Nashua, NH",2024,430462.0,242137555.0,0.71194
129,36100,"Ocala, FL",2024,428905.0,242566460.0,0.7132
130,25060,"Gulfport-Biloxi, MS",2024,426793.0,242993253.0,0.71445
131,49660,"Youngstown-Warren, OH",2024,426086.0,243419339.0,0.71571
132,11700,"Asheville, NC",2024,422333.0,243841672.0,0.71695
133,29180,"Lafayette, LA",2024,419704.0,244261376.0,0.71818
134,34940,"Naples-Marco Island, FL",2024,416233.0,244677609.0,0.71941
135,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC",2024,413391.0,245091000.0,0.72062
136,33660,"Mobile, AL",2024,412339.0,245503339.0,0.72183
137,11260,"Anchorage, AK",2024,407213.0,245910552.0,0.72303
138,22420,"Flint, MI",2024,402279.0,246312831.0,0.72421
139,15940,"Canton-Massillon, OH",2024,400551.0,246713382.0,0.72539
140,13140,"Beaumont-Port Arthur, TX",2024,398733.0,247112115.0,0.72656
141,45220,"Tallahassee, FL",2024,397675.0,247509790.0,0.72773
142,43900,"Spartanburg, SC",2024,395934.0,247905724.0,0.7289
143,22180,"Fayetteville, NC",2024,393812.0,248299536.0,0.73005
144,45940,"Trenton-Princeton, NJ",2024,392138.0,248691674.0,0.73121
145,33860,"Montgomery, AL",2024,387885.0,249079559.0,0.73235
146,43340,"Shreveport-Bossier City, LA",2024,383269.0,249462828.0,0.73347
147,21660,"Eugene-Springfield, OR",2024,382396.0,249845224.0,0.7346
148,19340,"Davenport-Moline-Rock Island, IA-IL",2024,381801.0,250227025.0,0.73572
149,22660,"Fort Collins-Loveland, CO",2024,374574.0,250601599.0,0.73682
150,11460,"Ann Arbor, MI",2024,373875.0,250975474.0,0.73792
151,25860,"Hickory-Lenoir-Morganton, NC",2024,373031.0,251348505.0,0.73902
152,12100,"Atlantic City-Hammonton, NJ",2024,372989.0,251721494.0,0.74012
153,24540,"Greeley, CO",2024,369745.0,252091239.0,0.7412
154,31180,"Lubbock, TX",2024,367109.0,252458348.0,0.74228
155,26580,"Huntington-Ashland, WV-KY-OH",2024,366920.0,252825268.0,0.74336
156,37900,"Peoria, IL",2024,364565.0,253189833.0,0.74443
157,23540,"Gainesville, FL",2024,359780.0,253549613.0,0.74549
158,30700,"Lincoln, NE",2024,350626.0,253900239.0,0.74652
159,17300,"Clarksville, TN-KY",2024,345955.0,254246194.0,0.74754
160,40420,"Rockford, IL",2024,337103.0,254583297.0,0.74853
161,24580,"Green Bay, WI",2024,334697.0,254917994.0,0.74951
162,14500,"Boulder, CO",2024,330262.0,255248256.0,0.75049
163,43780,"South Bend-Mishawaka, IN-MI",2024,325294.0,255573550.0,0.75144
164,17980,"Columbus, GA-AL",2024,324343.0,255897893.0,0.7524
165,28420,"Kennewick-Richland, WA",2024,319428.0,256217321.0,0.75333
166,40220,"Roanoke, VA",2024,315749.0,256533070.0,0.75426
167,28700,"Kingsport-Bristol, TN-VA",2024,313876.0,256846946.0,0.75519
168,25180,"Hagerstown-Martinsburg, MD-WV",2024,311295.0,257158241.0,0.7561
169,18880,"Crestview-Fort Walton Beach-Destin, FL",2024,310149.0,257468390.0,0.75701
170,43620,"Sioux Falls, SD-MN",2024,308266.0,257776656.0,0.75792
171,47380,"Waco, TX",2024,307123.0,258083779.0,0.75882
172,36500,"Olympia-Lacey-Tumwater, WA",2024,302912.0,258386691.0,0.75971
173,32900,"Merced, CA",2024,296774.0,258683465.0,0.76059
174,30980,"Longview, TX",2024,295490.0,258978955.0,0.76145
175,46540,"Utica-Rome, NY",2024,287932.0,259266887.0,0.7623
176,17780,"College Station-Bryan, TX",2024,287462.0,259554349.0,0.76315
177,35980,"Norwich-New London-Willimantic, CT",2024,282602.0,259836951.0,0.76398
178,46220,"Tuscaloosa, AL",2024,281963.0,260118914.0,0.76481
179,42020,"San Luis Obispo-Paso Robles, CA",2024,281843.0,260400757.0,0.76563
180,20260,"Duluth, MN-WI",2024,281815.0,260682572.0,0.76646
181,14740,"Bremerton-Silverdale-Port Orchard, WA",2024,281420.0,260963992.0,0.76729
182,16300,"Cedar Rapids, IA",2024,278677.0,261242669.0,0.76811
183,43640,"Slidell-Mandeville-Covington, LA",2024,277615.0,261520284.0,0.76893
184,11100,"Amarillo, TX",2024,274650.0,261794934.0,0.76973
185,29700,"Laredo, TX",2024,272823.0,262067757.0,0.77054
186,21780,"Evansville, IN",2024,271793.0,262339550.0,0.77134
187,22020,"Fargo, ND-MN",2024,267793.0,262607343.0,0.77212
188,21500,"Erie, PA",2024,267750.0,262875093.0,0.77291
189,31340,"Lynchburg, VA",2024,266432.0,263141525.0,0.77369
190,28020,"Kalamazoo-Portage, MI",2024,264780.0,263406305.0,0.77447
191,13460,"Bend, OR",2024,264407.0,263670712.0,0.77525
192,42100,"Santa Cruz-Watsonville, CA",2024,262406.0,263933118.0,0.77602
193,19300,"Daphne-Fairhope-Foley, AL",2024,261608.0,264194726.0,0.77679
194,49420,"Yakima, WA",2024,258523.0,264453249.0,0.77755
195,39150,"Prescott Valley-Prescott, AZ",2024,252013.0,264705262.0,0.77829
196,46340,"Tyler, TX",2024,249091.0,264954353.0,0.77902
197,11540,"Appleton, WI",2024,248992.0,265203345.0,0.77976
198,13780,"Binghamton, NY",2024,243971.0,265447316.0,0.78047
199,29340,"Lake Charles, LA",2024,242975.0,265690291.0,0.78119
200,16580,"Champaign-Urbana, IL",2024,242453.0,265932744.0,0.7819
201,31420,"Macon-Bibb County, GA",2024,237617.0,266170361.0,0.7826
202,25940,"Hilton Head Island-Bluffton-Port Royal, SC",2024,237393.0,266407754.0,0.7833
203,13380,"Bellingham, WA",2024,234954.0,266642708.0,0.78399
204,22900,"Fort Smith, AR-OK",2024,232848.0,266875556.0,0.78467
205,45820,"Topeka, KS",2024,232648.0,267108204.0,0.78536
206,12700,"Barnstable Town, MA",2024,232570.0,267340774.0,0.78604
207,40340,"Rochester, MN",2024,230742.0,267571516.0,0.78672
208,29200,"Lafayette-West Lafayette, IN",2024,229701.0,267801217.0,0.78739
209,15540,"Burlington-South Burlington, VT",2024,229445.0,268030662.0,0.78807
210,29740,"Las Cruces, NM",2024,229366.0,268260028.0,0.78874
211,16820,"Charlottesville, VA",2024,227336.0,268487364.0,0.78941
212,29420,"Lake Havasu City-Kingman, AZ",2024,226479.0,268713843.0,0.79008
213,37460,"Panama City-Panama City Beach, FL",2024,226221.0,268940064.0,0.79074
214,12020,"Athens-Clarke County, GA",2024,223689.0,269163753.0,0.7914
215,33740,"Monroe, LA",2024,221921.0,269385674.0,0.79205
216,23580,"Gainesville, GA",2024,221745.0,269607419.0,0.7927
217,32780,"Medford, OR",2024,221331.0,269828750.0,0.79335
218,49740,"Yuma, AZ",2024,220310.0,270049060.0,0.794
219,17860,"Columbia, MO",2024,219426.0,270268486.0,0.79465
220,27740,"Johnson City, TN",2024,214948.0,270483434.0,0.79528
221,27340,"Jacksonville, NC",2024,212954.0,270696388.0,0.79591
222,39460,"Punta Gorda, FL",2024,212122.0,270908510.0,0.79653
223,30500,"Lexington Park, MD",2024,211382.0,271119892.0,0.79715
224,17020,"Chico, CA",2024,208334.0,271328226.0,0.79776
225,41100,"St. George, UT",2024,207943.0,271536169.0,0.79838
226,21140,"Elkhart-Goshen, IN",2024,207436.0,271743605.0,0.79899
227,27900,"Joplin, MO-KS",2024,207131.0,271950736.0,0.79959
228,44100,"Springfield, IL",2024,206308.0,272157044.0,0.8002
229,12220,"Auburn-Opelika, AL",2024,206006.0,272363050.0,0.80081
230,41060,"St. Cloud, MN",2024,205878.0,272568928.0,0.80141
231,47580,"Warner Robins, GA",2024,204110.0,272773038.0,0.80201
232,16620,"Charleston, WV",2024,202091.0,272975129.0,0.80261
233,22500,"Florence, SC",2024,200474.0,273175603.0,0.8032
234,26380,"Houma-Bayou Cane-Thibodaux, LA",2024,199206.0,273374809.0,0.80378
235,39540,"Racine-Mount Pleasant, WI",2024,198651.0,273573460.0,0.80437
236,14540,"Bowling Green, KY",2024,195159.0,273768619.0,0.80494
237,20100,"Dover, DE",2024,192690.0,273961309.0,0.80551
238,13740,"Billings, MT",2024,192531.0,274153840.0,0.80607
239,33260,"Midland, TX",2024,188766.0,274342606.0,0.80663
240,17660,"Coeur d'Alene, ID",2024,188323.0,274530929.0,0.80718
241,40980,"Saginaw, MI",2024,187714.0,274718643.0,0.80773
242,49700,"Yuba City, CA",2024,186014.0,274904657.0,0.80828
243,10180,"Abilene, TX",2024,184278.0,275088935.0,0.80882
244,27180,"Jackson, TN",2024,183680.0,275272615.0,0.80936
245,15500,"Burlington, NC",2024,183040.0,275455655.0,0.8099
246,28740,"Kingston, NY",2024,182977.0,275638632.0,0.81044
247,26980,"Iowa City, IA",2024,182711.0,275821343.0,0.81097
248,13980,"Blacksburg-Christiansburg-Radford, VA",2024,182041.0,276003384.0,0.81151
249,20940,"El Centro, CA",2024,181724.0,276185108.0,0.81204
250,39820,"Redding, CA",2024,181121.0,276366229.0,0.81258
251,24780,"Greenville, NC",2024,180783.0,276547012.0,0.81311
252,34740,"Muskegon-Norton Shores, MI",2024,177428.0,276724440.0,0.81363
253,20740,"Eau Claire, WI",2024,176153.0,276900593.0,0.81415
254,36780,"Oshkosh-Neenah, WI",2024,173307.0,277073900.0,0.81466
255,42680,"Sebastian-Vero Beach-West Vero Corridor, FL",2024,172139.0,277246039.0,0.81516
256,14010,"Bloomington, IL",2024,172069.0,277418108.0,0.81567
257,26820,"Idaho Falls, ID",2024,171233.0,277589341.0,0.81617
258,29100,"La Crosse-Onalaska, WI-MN",2024,170763.0,277760104.0,0.81667
259,26140,"Homosassa Springs, FL",2024,170174.0,277930278.0,0.81718
260,47940,"Waterloo-Cedar Falls, IA",2024,170081.0,278100359.0,0.81768
261,36220,"Odessa, TX",2024,170022.0,278270381.0,0.81818
262,39380,"Pueblo, CO",2024,169866.0,278440247.0,0.81867
263,45460,"Terre Haute, IN",2024,168874.0,278609121.0,0.81917
264,28450,"Kenosha, WI",2024,168754.0,278777875.0,0.81967
265,27500,"Janesville-Beloit, WI",2024,165461.0,278943336.0,0.82015
266,11200,"Amherst Town-Northampton, MA",2024,165399.0,279108735.0,0.82064
267,27980,"Kahului-Wailuku, HI",2024,163769.0,279272504.0,0.82112
268,14020,"Bloomington, IN",2024,162553.0,279435057.0,0.8216
269,24300,"Grand Junction, CO",2024,161260.0,279596317.0,0.82207
270,30860,"Logan, UT-ID",2024,161125.0,279757442.0,0.82255
271,27100,"Jackson, MI",2024,160233.0,279917675.0,0.82302
272,44300,"State College, PA",2024,159805.0,280077480.0,0.82349
273,19460,"Decatur, AL",2024,159651.0,280237131.0,0.82396
274,16540,"Chambersburg, PA",2024,159285.0,280396416.0,0.82443
275,42140,"Santa Fe, NM",2024,157765.0,280554181.0,0.82489
276,12620,"Bangor, ME",2024,156840.0,280711021.0,0.82535
277,45900,"Traverse City, MI",2024,156634.0,280867655.0,0.82581
278,25620,"Hattiesburg, MS",2024,156575.0,281024230.0,0.82627
279,22520,"Florence-Muscle Shoals, AL",2024,156287.0,281180517.0,0.82673
280,39660,"Rapid City, SD",2024,156227.0,281336744.0,0.82719
281,33780,"Monroe, MI",2024,156045.0,281492789.0,0.82765
282,47220,"Vineland, NJ",2024,155678.0,281648467.0,0.82811
283,25260,"Hanford-Corcoran, CA",2024,154913.0,281803380.0,0.82856
284,20020,"Dothan, AL",2024,154766.0,281958146.0,0.82902
285,48680,"Wildwood-The Villages, FL",2024,154693.0,282112839.0,0.82947
286,35660,"Niles, MI",2024,152703.0,282265542.0,0.82992
287,46660,"Valdosta, GA",2024,152588.0,282418130.0,0.83037
288,27620,"Jefferson City, MO",2024,151523.0,282569653.0,0.83082
289,43300,"Sherman-Denison, TX",2024,150532.0,282720185.0,0.83126
290,48660,"Wichita Falls, TX",2024,149869.0,282870054.0,0.8317
291,49020,"Winchester, VA-WV",2024,149702.0,283019756.0,0.83214
292,10780,"Alexandria, LA",2024,148008.0,283167764.0,0.83257
293,40580,"Rocky Mount, NC",2024,147114.0,283314878.0,0.83301
294,19140,"Dalton, GA",2024,146386.0,283461264.0,0.83344
295,43580,"Sioux City, IA-NE-SD",2024,145994.0,283607258.0,0.83387
296,45500,"Texarkana, TX-AR",2024,145576.0,283752834.0,0.83429
297,10500,"Albany, GA",2024,145451.0,283898285.0,0.83472
298,30140,"Lebanon, PA",2024,145319.0,284043604.0,0.83515
299,22380,"Flagstaff, AZ",2024,145161.0,284188765.0,0.83558
300,34060,"Morgantown, WV",2024,142752.0,284331517.0,0.836
301,25220,"Hammond, LA",2024,139823.0,284471340.0,0.83641
302,13900,"Bismarck, ND",2024,139183.0,284610523.0,0.83682
303,48140,"Wausau, WI",2024,139091.0,284749614.0,0.83723
304,25500,"Harrisonburg, VA",2024,138838.0,284888452.0,0.83763
305,27860,"Jonesboro, AR",2024,138152.0,285026604.0,0.83804
306,48540,"Wheeling, WV-OH",2024,135136.0,285161740.0,0.83844
307,44220,"Springfield, OH",2024,134985.0,285296725.0,0.83883
308,31740,"Manhattan, KS",2024,134892.0,285431617.0,0.83923
309,12980,"Battle Creek, MI",2024,133785.0,285565402.0,0.83962
310,34580,"Mount Vernon-Anacortes, WA",2024,132736.0,285698138.0,0.84001
311,34900,"Napa, CA",2024,132727.0,285830865.0,0.8404
312,10540,"Albany, OR",2024,132474.0,285963339.0,0.84079
313,17420,"Cleveland, TN",2024,132120.0,286095459.0,0.84118
314,41540,"Salisbury, MD",2024,131570.0,286227029.0,0.84157
315,27780,"Johnstown, PA",2024,130108.0,286357137.0,0.84195
316,11180,"Ames, IA",2024,129227.0,286486364.0,0.84233
317,38340,"Pittsfield, MA",2024,128726.0,286615090.0,0.84271
318,44420,"Staunton-Stuarts Draft, VA",2024,128481.0,286743571.0,0.84309
319,21060,"Elizabethtown, KY",2024,127954.0,286871525.0,0.84346
320,33540,"Missoula, MT",2024,127741.0,286999266.0,0.84384
321,48300,"Wenatchee-East Wenatchee, WA",2024,127023.0,287126289.0,0.84421
322,14580,"Bozeman, MT",2024,126984.0,287253273.0,0.84459
323,34100,"Morristown, TN",2024,126932.0,287380205.0,0.84496
324,30020,"Lawton, OK",2024,126899.0,287507104.0,0.84533
325,43420,"Sierra Vista-Douglas, AZ",2024,125773.0,287632877.0,0.8457
326,24020,"Glens Falls, NY",2024,125127.0,287758004.0,0.84607
327,31900,"Mansfield, OH",2024,124853.0,287882857.0,0.84644
328,46300,"Twin Falls, ID",2024,122565.0,288005422.0,0.8468
329,29940,"Lawrence, KS",2024,121989.0,288127411.0,0.84716
330,41660,"San Angelo, TX",2024,121629.0,288249040.0,0.84751
331,22140,"Farmington, NM",2024,120817.0,288369857.0,0.84787
332,24140,"Goldsboro, NC",2024,120338.0,288490195.0,0.84822
333,11020,"Altoona, PA",2024,120269.0,288610464.0,0.84858
334,41140,"St. Joseph, MO-KS",2024,119124.0,288729588.0,0.84893
335,43100,"Sheboygan, WI",2024,118331.0,288847919.0,0.84928
336,15260,"Brunswick-St. Simons, GA",2024,117135.0,288965054.0,0.84962
337,11500,"Anniston-Oxford, AL",2024,116427.0,289081481.0,0.84996
338,30340,"Lewiston-Auburn, ME",2024,115272.0,289196753.0,0.8503
339,31020,"Longview-Kelso, WA",2024,113982.0,289310735.0,0.85064
340,36980,"Owensboro, KY",2024,113583.0,289424318.0,0.85097
341,41780,"Sandusky, OH",2024,113533.0,289537851.0,0.8513
342,48260,"Weirton-Steubenville, WV-OH",2024,113239.0,289651090.0,0.85164
343,48700,"Williamsport, PA",2024,113236.0,289764326.0,0.85197
344,48060,"Watertown-Fort Drum, NY",2024,113140.0,289877466.0,0.8523
345,34620,"Muncie, IN",2024,112951.0,289990417.0,0.85263
346,33140,"Michigan City-La Porte, IN",2024,111348.0,290101765.0,0.85296
347,13220,"Beckley, WV",2024,110979.0,290212744.0,0.85329
348,42700,"Sebring, FL",2024,109778.0,290322522.0,0.85361
349,38240,"Pinehurst-Southern Pines, NC",2024,108417.0,290430939.0,0.85393
350,23900,"Gettysburg, PA",2024,107914.0,290538853.0,0.85425
351,28100,"Kankakee, IL",2024,106410.0,290645263.0,0.85456
352,27060,"Ithaca, NY",2024,105602.0,290750865.0,0.85487
353,31860,"Mankato, MN",2024,105193.0,290856058.0,0.85518
354,44940,"Sumter, SC",2024,104776.0,290960834.0,0.85549
355,22540,"Fond du Lac, WI",2024,104269.0,291065103.0,0.85579
356,24220,"Grand Forks, ND-MN",2024,104184.0,291169287.0,0.8561
357,23460,"Gadsden, AL",2024,103207.0,291272494.0,0.8564
358,13020,"Bay City, MI",2024,102651.0,291375145.0,0.85671
359,37140,"Paducah, KY-IL",2024,102395.0,291477540.0,0.85701
360,16940,"Cheyenne, WY",2024,101783.0,291579323.0,0.85731
361,40660,"Rome, GA",2024,101390.0,291680713.0,0.8576
362,30620,"Lima, OH",2024,100866.0,291781579.0,0.8579
363,19500,"Decatur, IL",2024,100737.0,291882316.0,0.8582
364,26300,"Hot Springs, AR",2024,99902.0,291982218.0,0.85849
365,20220,"Dubuque, IA",2024,99242.0,292081460.0,0.85878
366,47020,"Victoria, TX",2024,99170.0,292180630.0,0.85907
367,18700,"Corvallis, OR",2024,98899.0,292279529.0,0.85937
368,16020,"Cape Girardeau, MO-IL",2024,98862.0,292378391.0,0.85966
369,25740,"Helena, MT",2024,96735.0,292475126.0,0.85994
370,21820,"Fairbanks-College, AK",2024,94951.0,292570077.0,0.86022
